DESTINO;CUENTA_CUIT;LINK;LINK5;PROV;PUNTO_GEOGRAFICO;POBLACION;DENSIDAD;NBI
DOS DE MAYO;50;54014030;54014;Misiones;Point (-54.70307749307529832 -26.98089430539679867);53403;0,334657485;0,151386669
EL CALAFATE;32;78028010;78028;Santa Cruz;Point (-72.26199506989790677 -50.33732084854270283);18864;0,004868149;0,109760522
EL DORADO;50;6462020;06462;Buenos Aires;Point (-61.58290850588730336 -34.65286087475229948);16799;0,104326604;0,044440602
EMBALSE;38;14007060;14007;Cordoba;Point (-64.40062268258189704 -32.20650768757619886);54730;0,115416519;0,07768253
EMBALSE ;1;;;;"LIMPIARIA LA TABLA PARA UNIFICAR ""EMBALSE"" CON ""EMBALSE """;;;
EMBARCACION;33;66056090;66056;Salta;Point (-64.00526538831860535 -23.26445605884450174);156910;0,098054187;0,260002637
EMPALME VILLA CONSTITUCION;32;82028070;82028;Santa Fe;Point (-60.38046446392930022 -33.26286254712479717);86910;0,256341126;0,058390207
ESCOBAR;204;6252010;06252;Buenos Aires;Point (-58.73617325965459912 -34.428785229177997);213619;6,996485209;0,116070089
ESQUEL;83;26035030;26035;Chubut;Point (-71.31851163192770571 -42.91332388582900137);43076;0,045975832;0,08930131
ESQUINA;50;14105090;14105;Cordoba;Point (-63.79356277862999747 -31.07729112631960078);46675;0,068906048;0,088558453
ESTEBAN ECHEVERRIA;68;6260010;06260;Buenos Aires;Point (-58.47269476035079805 -34.81913686307360223);300959;24,49369668;0,107722915
EXALTACION DE LA CRUZ;68;6266020;06266;Buenos Aires;Point (-59.10152327244399828 -34.29121086680339658);29805;0,464793391;0,084715965
EZEIZA;68;6270010;06270;Buenos Aires;Point (-58.57800173347759909 -34.93384898695150298);163722;6,825418276;0,141029964
FLORENCIO VARELA;204;6274010;06274;Buenos Aires;Point (-58.22291200394870003 -34.82758070283090035);426005;22,16957753;0,170212578
FORMOSA;59;34014020;34014;Formosa;Point (-58.173393054912097 -26.18282230557640133);234354;0,362056881;0,150588461
GENERAL MADARIAGA;50;6315010;06315;Buenos Aires;Point (-57.13747690712980187 -36.99677300120779933);19747;0,0651393;0,075489577
GENERAL PICO;53;42105030;42105;La Pampa;Point (-63.7609292677390016 -35.66338059372060343);59024;0,2355235;0,030705984
GENERAL PUEYRREDON;275;;;;¿VILLA PUEYRREDON O MAR DEL PLATA?;;;
GENERAL ROCA;50;14063120;14063;Cordoba;Point (-61.91713871250890122 -32.73051152966709765);104205;0,113096628;0,033233735
GENERAL RODRIGUEZ;68;6364030;06364;Buenos Aires;Point (-58.95325335388780275 -34.62786034324150108);87185;2,349258685;0,139171949
GENERAL SAN MARTIN;68;6371010;06371;Buenos Aires;Point (-58.55831771798219876 -34.54228468223229953);414196;72,73096377;0,06708608
GOBERNADOR ROCA;5;54098050;54098;Misiones;Point (-55.46828028601949967 -27.1910170928284991);57728;0,33813631;0,197334535
GUALEGUAYCHU;121;30056070;30056;Entre Rios;Point (-58.51642579463509719 -33.01003282673819683);109461;0,143944716;0,049605706
HUMAHUACA;6;38028040;38028;Jujuy;Point (-65.35087437456469672 -23.20261189204429897);17366;0,047799761;0,195065373
ITUZAINGO;116;18084020;18084;Corrientes;Point (-56.70397394480099962 -27.59104294137409852);31150;0,031230335;0,168877734
JARDIN AMERICA;50;54098080;54098;Misiones;Point (-55.23208588240080275 -27.0410707861025017);57728;0,33813631;0,197334535
JESUS MARIA;50;14021140;14021;Cordoba;Point (-64.09577128687290326 -30.98119373840480151);225151;0,961595307;0,078080903
JN;1722;;;;¿PONEMOS CABA?;;;
JOSE C. PAZ;136;6412010;06412;Buenos Aires;Point (-58.8042588983992971 -34.48049579491289762);265981;52,45037659;0,120046848
JUNIN;50;6413050;06413;Buenos Aires;Point (-60.94726517153259948 -34.58383162713970194);90305;0,399366797;0,041926439
JUNIN DE LOS ANDES;24;58049010;58049;Neuquen;Point (-71.07033356091359622 -39.9494720138355035);14725;0,036317555;0,162008527
LA BANDA;150;14028090;14028;Cordoba;Point (-64.64598393340750704 -30.7628592235779017);58759;0,088927337;0,14685227
LA FALDA;50;14091120;14091;Cordoba;Point (-64.48644177545610034 -31.09196499065799912);178401;0,722036068;0,056648508
LA GRANJA;50;14021160;14021;Cordoba;Point (-64.26167835104449466 -31.0054374122172014);225151;0,961595307;0,078080903
LA MATANZA;340;6427010;06427;Buenos Aires;Point (-58.53700637685459895 -34.72453585007750121);1775816;53,53475459;0,119368789
LA PAZ;50;14133060;14133;Cordoba;Point (-65.05111571084080424 -32.21727523875480159);53520;0,345668002;0,100536108
LA PLATA;340;6441030;06441;Buenos Aires;Point (-58.04337742569099845 -34.99760860097470072);654324;7,214371934;0,084052902
LA RIOJA;100;46014010;46014;La Rioja;Point (-66.85667537996299359 -29.4217827668094003);180995;0,138071022;0,104178592
LAGO PUELO;50;26014090;26014;Chubut;Point (-71.59815756252349672 -42.06729231308599992);20919;0,012927134;0,110813226
LANUS;340;6434010;06434;Buenos Aires;Point (-58.38386284921620017 -34.69095715027140159);459263;90,36632156;0,049580866
LEANDRO N. ALEM;50;6462050;06462;Buenos Aires;Point (-61.39118289948390128 -34.52172462345959758);16799;0,104326604;0,044440602
LOBOS;68;6483040;06483;Buenos Aires;Point (-59.09571157069220249 -35.18586779839220213);36172;0,207474572;0,045961358
LOMAS DE ZAMORA;391;6490010;06490;Buenos Aires;Point (-58.42679038996649865 -34.76276764100609995);616279;68,68793421;0,089142361
LUJAN;68;6497060;06497;Buenos Aires;Point (-59.05823086830169899 -34.58069973644659711);106273;1,368467991;0,060785881
MACHAGAI;50;22168020;22168;Chaco;Point (-60.04771961306369832 -26.92873355041430017);29215;0,123796553;0,260090281
MAGDALENA;6;6505040;06505;Buenos Aires;Point (-57.51725858399110081 -35.08068530325059697);19301;0,103108336;0,078947368
MALAGUEÑO;50;14147210;14147;Cordoba;Point (-64.35842619732760284 -31.46480510436660083);98188;0,302757647;0,081864696
MALVINAS ARGENTINAS;68;6515010;06515;Buenos Aires;Point (-58.70624174074860235 -34.45445505760339699);322375;50,60105678;0,121303365
MENDIOLAZA;100;14021200;14021;Cordoba;Point (-64.30383364667049761 -31.26346797940130173);225151;0,961595307;0,078080903
